NO,RUTE ( PP),JUMLAH PENERBANGAN,JUMLAH PENUMPANG,KAPASITAS SEAT,JUMLAH BARANG (Kg),JUMLAH POS,L/F
137,NATUNA (NTX) - Batam (BTH),641.0,34968.0,46872.0,154004.0,20127.0,"74,6%"
138,"Sumbawa Besar (SWQ) - Praya, Lombok (LOP)",670.0,33223.0,48240.0,29254.0,4359.0,"68,9%"
139,Makassar (UPG) - Jakarta-HLP (HLP),333.0,33047.0,53506.0,78142.0,728.0,"61,8%"
140,Ternate (TTE) - Jakarta-HLP (HLP),349.0,32781.0,57170.0,322269.0,,"57,3%"
141,Larantuka (LKA) - Kupang (KOE),601.0,32735.0,43272.0,139760.0,22546.0,"75,6%"
142,Denpasar (DPS) - Bima (BMU),739.0,32536.0,53208.0,34070.0,4332.0,"61,1%"
143,Saumlaki (SXK) - Ambon (AMQ),642.0,32313.0,46224.0,133658.0,19577.0,"69,9%"
144,Sorong (SOQ) - Ambon (AMQ),649.0,31419.0,48372.0,26521.0,2252.0,"65,0%"
145,Yogyakarta (YIA) - Medan (KNO),234.0,30029.0,42632.0,307090.0,,"70,4%"
146,Timika (TIM) - Nabire (NBX),587.0,29844.0,41712.0,46450.0,385.0,"71,5%"
147,Manokwari (MKW) - Jayapura (DJJ),263.0,29511.0,49431.0,264371.0,,"59,7%"
148,Makassar (UPG) - Maumere (MOF),641.0,29299.0,46152.0,45449.0,3310.0,"63,5%"
149,Denpasar (DPS) - Balikpapan (BPN),319.0,26863.0,50641.0,66807.0,,"53,0%"
150,Makassar (UPG) - Samarinda (AAP),261.0,26769.0,40812.0,23643.0,62.0,"65,6%"
151,Makassar (UPG) - Semarang (SRG),229.0,26253.0,45421.0,240139.0,,"57,8%"
152,Kotabaru (KBU) - Banjarmasin (BDJ),489.0,26025.0,35208.0,36398.0,6213.0,"73,9%"
153,Nabire (NBX) - Manokwari (MKW),476.0,25887.0,34272.0,58186.0,10338.0,"75,5%"
154,Jakarta-HLP (HLP) - Bengkulu (BKS),228.0,25367.0,35724.0,6303.0,20.0,"71,0%"
155,Waingapu (WGP) - Denpasar (DPS),510.0,25035.0,37008.0,28448.0,1788.0,"67,6%"
156,Yogyakarta (YIA) - Denpasar (DPS),275.0,24767.0,45866.0,16623.0,,"54,0%"
157,Sorong (SOQ) - Fak-fak (FKQ),394.0,24551.0,28368.0,71971.0,6063.0,"86,5%"
158,Surabaya (SUB) - Ambon (AMQ),188.0,23651.0,39848.0,133645.0,325.0,"59,4%"
159,Pekanbaru (PKU) - Bandung (BDO),371.0,23172.0,58443.0,665148.0,,"39,6%"
160,Rote (RTI) - Kupang (KOE),521.0,23131.0,37512.0,20171.0,2119.0,"61,7%"
161,Yogyakarta (YIA) - Palangkaraya (PKY),248.0,22131.0,38880.0,29498.0,158.0,"56,9%"
162,Surabaya (SUB) - Tanjung Redeb (BEJ),179.0,21318.0,33831.0,41725.0,,"63,0%"
163,Yogyakarta (YIA) - Samarinda (AAP),186.0,21286.0,35154.0,16059.0,159.0,"60,6%"
164,Sorong (SOQ) - Kaimana (KNG),346.0,21197.0,24912.0,150876.0,14566.0,"85,1%"
165,Semarang (SRG) - Denpasar (DPS),474.0,20946.0,36468.0,43800.0,2831.0,"57,4%"
166,Makassar (UPG) - Kotabaru (KBU),458.0,20812.0,32976.0,38972.0,4461.0,"63,1%"
