Source.Name,Column1,Column2,Column3,Column4,Column5,Column6,Column7
20240229235958pdf_1-31 Maret 2024.pdf,41,SULTAN MAHMUD BADARUDDIN II,PALEMBANG,PLM,"91.00","15,693.30","15,735.60"
20240229235958pdf_1-31 Maret 2024.pdf,42,MUTIARA,PALU,PLW,93.10,"16,060.59","16,103.88"
20240229235958pdf_1-31 Maret 2024.pdf,43,SUPADIO,PONTIANAK,PNK,91.70,"15,804.60","15,847.20"
20240229235958pdf_1-31 Maret 2024.pdf,44,H. ASAN,SAMPIT,SMQ,91.70,"15,804.60","15,847.20"
20240229235958pdf_1-31 Maret 2024.pdf,45,ADISUMARMO,SOLO,SOC,92.00,"15,860.25","15,903.00"
20240229235958pdf_1-31 Maret 2024.pdf,46,SORONG DARATAN,SORONG,SOQ,93.40,"16,116.24","16,159.68"
20240229235958pdf_1-31 Maret 2024.pdf,47,ACHMAD YANI,SEMARANG,SRG,91.70,"15,804.60","15,847.20"
20240229235958pdf_1-31 Maret 2024.pdf,48,JUANDA,SURABAYA,SUB,89.80,"15,448.44","15,490.08"
20240229235958pdf_1-31 Maret 2024.pdf,49,RADEN INTEN II,BANDAR LAMPUNG,TKG,89.70,"15,604.26","15,646.32"
20240229235958pdf_1-31 Maret 2024.pdf,50,KIJANG,TANJUNG PINANG,TNJ,91.50,"15,782.34","15,824.88"
20240229235958pdf_1-31 Maret 2024.pdf,51,JUWATA,TARAKAN,TRK,91.70,"15,804.60","15,847.20"
20240229235958pdf_1-31 Maret 2024.pdf,52,BABULLAH,TERNATE,TTE,93.40,"16,116.24","16,159.68"
20240229235958pdf_1-31 Maret 2024.pdf,53,HASANUDDIN,UJUNG PANDANG,UPG,92.70,"15,938.16","15,981.12"
20240229235958pdf_1-31 Maret 2024.pdf,54,MAU HAU,WAINGAPU,WGP,91.20,"15,726.69","15,769.08"
20240229235958pdf_1-31 Maret 2024.pdf,55,ISWAHYUDI,MADIUN,WIAR (ICAO),91.10,"15,737.82","15,780.24"
20240229235958pdf_1-31 Maret 2024.pdf,56,DUMATUBUN,TUAL,LUV,94.10,"16,249.80","16,293.60"
20240229235958pdf_1-31 Maret 2024.pdf,57,SILANGIT,SIBORONG-BORONG,DTB,80.20,"13,801.20","13,838.40"
20240229235958pdf_1-31 Maret 2024.pdf,58,KALIMARAU,BERAU,BEJ,91.70,"15,804.60","15,847.20"
20240229235958pdf_1-31 Maret 2024.pdf,59,KOMODO,LABUAN BAJO,LBJ,80.20,"13,801.20","13,838.40"
20240229235958pdf_1-31 Maret 2024.pdf,60,KUALANAMU,DELI SERDANG,KNO,90.10,"15,492.96","15,534.72"
