waktu_id,bandara_id,kategori,pesawat_dtg,pesawat_brk,pesawat_total,penumpang_dtg,penumpang_brk,penumpang_total,penumpang_tra,bagasi_dtg,bagasi_brk,bagasi_total,barang_dtg,barang_brk,barang_total,pos_dtg,pos_brk,pos_total
2024,326,DOMESTIK,133105,132895,266,19041471,18894746,37936217,878.67,149902520,154716494,304619014,116160707,225669438,341830145,2.12,0,2.12
2020,326,INTERNASIONAL,16691,16773,33464,2016271,1944822,3961093,5885,17805967,11807591,29613558,142966201,126143193,269109394,211661,232041,443702
2021,326,INTERNASIONAL,13086,13277,26363,629.64,612146,1241786,268,4370602,3363904,7734506,200280301,198328671,398608972,24613,6155,30768
2022,326,INTERNASIONAL,24385,24263,48648,3322604,3751991,7074595,1564,26749465,19254192,46003657,180273605,158053314,338326919,46,0,46
2023,326,INTERNASIONAL,40737,41018,81755,6542223,6781591,13323814,17.21,51726983,38370507,90097490,155480699,129587469,285068168,498,97,595
2024,326,INTERNASIONAL,48185,48406,96591,8185804,8305373,16491177,19616,131629736,106085648,237715384,151440161,129965573,281405734,0,0,0
2024,40,DOMESTIK,57,53,110,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,5,DOMESTIK,3073,3073,6146,269186,272697,541883,1285,1153294,1185745,2339039,576.92,2304626,2881546,0,0,0
2021,5,DOMESTIK,2029,2029,4058,216766,211.22,427986,0,1150547,1235353,2385900,361954,1494769,1856723,0,0,0
2022,5,DOMESTIK,3.26,3259,6519,412361,427305,839666,0,2783907,3089584,5873491,301463,1459396,1760859,0,0,0
2023,5,DOMESTIK,4192,4158,8.35,553762,570783,1124545,0,3695841,4661896,8357737,358.67,2684557,3043227,693,2324,3017
2024,5,DOMESTIK,4155,4107,8262,502443,509.12,1011563,1,3337601,3592947,6930548,305745,3700001,4005746,440,2232,2672
2020,5,INTERNASIONAL,42,44,86,9.23,7968,17198,0,251376,86115,337491,0,0,0,0,0,0
2021,5,INTERNASIONAL,4,3,7,4,2,6,0,0,0,0,15158,0,15158,0,0,0
2022,5,INTERNASIONAL,109,108,217,16832,16907,33739,0,423199,326663,749862,0,0,0,0,0,0
2023,5,INTERNASIONAL,225,220,445,41911,39362,81273,0,868082,669.15,1537232,7474,0,7474,1.59,0,1.59
2024,5,INTERNASIONAL,255,257,512,37.36,47772,85132,0,886854,770501,1657355,900,300,1.2,0,0,0
2020,4,DOMESTIK,8345,8346,16691,675905,657072,1332977,9.3,2974002,3077015,6051017,3596664,5426910,9023574,0,0,0
2021,4,DOMESTIK,5.03,5104,10134,440633,434897,875.53,8336,2297118,2602170,4899288,2979118,3784213,6763331,0,0,0
2022,4,DOMESTIK,7.09,7313,14403,817293,800816,1618109,13299,5257681,6014629,11272310,1378827,4843837,6222664,0,0,0
2023,4,DOMESTIK,8577,9.06,17637,1048014,1044386,2092400,5809,7129625,7630753,14760378,1248941,8523863,9772804,302,0,302
2024,4,DOMESTIK,8814,9103,17917,1124266,1124772,2249038,6,7852238,8388581,16240819,1521263,13728106,15249369,2659,0,2659
2020,4,INTERNASIONAL,206,207,413,22.12,20482,42602,0,318892,174626,493518,225787,142.95,368737,0,0,0
2021,4,INTERNASIONAL,79,15,94,3,2,5,0,0,0,0,1199425,12606,1212031,0,0,0
2022,4,INTERNASIONAL,298,70,368,5,72,77,0,0,78,78,3515300,62779,3578079,0,0,0
2023,4,INTERNASIONAL,543,63,606,2262,2605,4867,0,30.38,18707,49087,4336601,4637,4341238,0,0,0
2024,4,INTERNASIONAL,345,38,383,51,94,145,0,0,0,0,3465861,0,3465861,0,0,0
2020,357,DOMESTIK,119,119,238,572,787,1359,0,3347,5213,8.56,1.5,331,1831,0,0,0
2021,357,DOMESTIK,26,26,52,217,224,441,0,42,314,356,0,200,200,0,0,0
2022,357,DOMESTIK,17,17,34,125,152,277,0,18,144,162,0,0,0,0,0,0
2023,357,DOMESTIK,2446,2442,4888,155,158,313,0,0,0,0,0,0,0,0,0,0
2024,357,DOMESTIK,2213,2214,4427,220,162,382,0,0,0,0,0,0,0,0,0,0
2020,216,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,216,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,216,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,216,DOMESTIK,18,17,35,71,146,217,0,0,0,0,0,0,0,0,0,0
2024,216,DOMESTIK,15,17,32,33,79,112,0,0,10,10,0,0,0,0,0,0
2020,52,DOMESTIK,31,31,62,900,962,1862,0,1622,1842,3464,0,0,0,0,0,0
2021,52,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,52,DOMESTIK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,52,DOMESTIK,117,117,234,707,761,1468,0,5848,7516,13364,0,0,0,0,0,0
2024,52,DOMESTIK,101,101,202,703,733,1436,0,5898,7284,13182,0,0,0,0,0,0
