bandara_id,kode_iata,nama_bandara,kota,provinsi,negara
278,,NAMLEA,PULAU BURU,MALUKU,INDONESIA
279,,NAMROLE PULAU BURU,,MALUKU,INDONESIA
280,,NANGA PINOH,NANGA PINOH,KALIMANTAN BARAT,INDONESIA
281,CPF,NGLORAM,CEPU,JAWA TENGAH,INDONESIA
282,DPS,NGURAH RAI,BALI,BALI,INDONESIA
283,JBB,NOTOHADINEGORO,JEMBER,JAWA TIMUR,INDONESIA
284,,NUMFOR,,PAPUA,INDONESIA
285,NNX,NUNUKAN,NUNUKAN,KALIMANTAN UTARA,INDONESIA
286,,NUSAWIRU,CIAMIS,JAWA BARAT,INDONESIA
287,LAH,OESMAN SADIK,LABUHA,MALUKU UTARA,INDONESIA
288,,OKABA,,PAPUA SELATAN,INDONESIA
289,,OKSIBIL,,PAPUA PEGUNUNGAN,INDONESIA
290,,PAGERUNGAN,,JAWA TIMUR,INDONESIA
291,,PANGSUMA,PUTUSSIBAU,KALIMANTAN BARAT,INDONESIA
292,,PANUA POHUWATO,,GORONTALO,INDONESIA
293,,PASIR PANGARAIAN,ROKAN HULU,RIAU,INDONESIA
294,AMQ,PATTIMURA,AMBON,MALUKU,INDONESIA
295,DUM,PINANG KAMPAI,DUMAI,KEPULAUAN RIAU,INDONESIA
296,OTI,PITU,MOROTAI,MALUKU UTARA,INDONESIA
297,,POGOGUL / BUOL,,SULAWESI TENGAH,INDONESIA
298,,RADIN INTEN II,TANJUNG KARANG,LAMPUNG,INDONESIA
299,KTG,RAHADI OESMAN,KETAPANG,KALIMANTAN BARAT,INDONESIA
300,,RAJA HAJI ABDULLAH,TANJUNG BALAI KARIMUN,KEPULAUAN RIAU,INDONESIA
301,TNJ,RAJA HAJI FISABILILLAH,TANJUNG PINANG,KEPULAUAN RIAU,INDONESIA
302,,RAMPI,,SULAWESI SELATAN,INDONESIA
303,NTX,RANAI,NATUNA,KEPULAUAN RIAU,INDONESIA
304,TXE,REMBELE,TAKENGON,DAERAH ISTIMEWA ACEH,INDONESIA
305,MKW,RENDANI,MANOKWARI,PAPUA BARAT,INDONESIA
306,,ROBERT ATTY BESSING,,KALIMANTAN UTARA,INDONESIA
307,,ROKOT,SIPORA,SUMATERA BARAT,INDONESIA
308,MDC,SAM RATULANGI,MANADO,SULAWESI UTARA,INDONESIA
309,,SANGGU,BUNTOK,KALIMANTAN TENGAH,INDONESIA
310,KXB,SANGIA NI BANDERA,KOLAKA,SULAWESI TENGGARA,INDONESIA
311,,SEKO,,SULAWESI SELATAN,INDONESIA
312,LNU,SELUWING,MALINAU,KALIMANTAN UTARA,INDONESIA
313,,SENGGEH,,PAPUA,INDONESIA
314,,SENGGO,,PAPUA SELATAN,INDONESIA
315,DJJ,SENTANI,JAYAPURA,PAPUA,INDONESIA
316,BPN,SEPINGGAN,BALIKPAPAN,KALIMANTAN TIMUR,INDONESIA
317,,SIBISA,KAB. TOBA,SUMATERA UTARA,INDONESIA
318,LLJ,SILAMPARI,LUBUK LINGGAU,BANGKA BELITUNG,INDONESIA
319,DTB,SILANGIT,SIBORONG-BORONG,SUMATERA UTARA,INDONESIA
320,,SINAK,,PAPUA TENGAH,INDONESIA
321,,SINGKAWANG,,KALIMANTAN BARAT,INDONESIA
322,,SITARO,,SULAWESI UTARA,INDONESIA
323,PLM,SM BADARUDIN II,PALEMBANG,SUMATERA SELATAN,INDONESIA
324,BJW,SOA,BAJAWA,NUSA TENGGARA TIMUR,INDONESIA
325,,SOBAHAM,,PAPUA PEGUNUNGAN,INDONESIA
326,CGK,SOEKARNO-HATTA,CENGKARENG,BANTEN,INDONESIA
327,ZRI,STEVANUS RUMBEWAS,SERUI,PAPUA,INDONESIA
328,RAQ,SUGIMANURU,MUNA,SULAWESI TENGGARA,INDONESIA
329,TTE,SULTAN BABULLAH,TERNATE,MALUKU UTARA,INDONESIA
330,TLI,SULTAN BANTILAN,TOLI-TOLI,SULAWESI TENGAH,INDONESIA
331,,SULTAN HAROEN SETIA NEGARA,PELALAWAN,KEPULAUAN RIAU,INDONESIA
332,UPG,SULTAN HASANUDDIN,MAKASSAR,SULAWESI SELATAN,INDONESIA
333,BTJ,SULTAN ISKANDAR MUDA,BANDA ACEH,DAERAH ISTIMEWA ACEH,INDONESIA
334,BMU,SULTAN M. SALAHUDDIN,BIMA,NUSA TENGGARA BARAT,INDONESIA
335,SWQ,SULTAN MUH. KAHARUDDIN,SUMBAWA BESAR,NUSA TENGGARA BARAT,INDONESIA
336,PKU,SULTAN SYARIF KASIM II,PEKANBARU,RIAU,INDONESIA
337,DJB,SULTAN THAHA,JAMBI,JAMBI,INDONESIA
338,PNK,SUPADIO,PONTIANAK,KALIMANTAN BARAT,INDONESIA
339,BDJ,SYAMSUDIN NOOR,BANJARMASIN,KALIMANTAN SELATAN,INDONESIA
340,,SYEKH HAMZAH FANSURY,SINGKIL,DAERAH ISTIMEWA ACEH,INDONESIA
341,LUW,SYUKURAN AMINUDDIN AMIR,LUWUK,SULAWESI TENGAH,INDONESIA
342,MJU,TAMPA PADANG,MAMUJU,SULAWESI BARAT,INDONESIA
343,,TANAH MERAH,,PAPUA SELATAN,INDONESIA
344,OJU,TANJUNG API,AMPANA,SULAWESI TENGAH,INDONESIA
345,TJS,TANJUNG HARAPAN,TANJUNG SELOR,KALIMANTAN UTARA,INDONESIA
346,SAU,TARDAMU,SABU,NUSA TENGGARA TIMUR,INDONESIA
347,SQG,TEBELIAN,SINTANG,KALIMANTAN BARAT,INDONESIA
348,,TEMINABUAN,,PAPUA BARAT DAYA,INDONESIA
349,,TEUKU CUT ALI,TAPAK TUAN,DAERAH ISTIMEWA ACEH,INDONESIA
350,,TIOM,,PAPUA PEGUNUNGAN,INDONESIA
351,,TJ. WARUKIN,,KALIMANTAN SELATAN,INDONESIA
352,PKY,TJILIK RIWUT,PALANGKARAYA,KALIMANTAN TENGAH,INDONESIA
353,FKQ,TOREA,FAK-FAK,PAPUA BARAT,INDONESIA
354,SUP,TRUNOJOYO,SUMENEP,JAWA TIMUR,INDONESIA
355,,TSINGA,,PAPUA TENGAH,INDONESIA
356,,TUMBANG SAMBA,,KALIMANTAN TENGAH,INDONESIA
357,CXP,TUNGGUL WULUNG,CILACAP,JAWA TENGAH,INDONESIA
358,WGP,UMBU MEHANG KUNDA,WAINGAPU,NUSA TENGGARA TIMUR,INDONESIA
359,,UPTD TEMPULING,INDRAGIRI HILIR,KEPULAUAN RIAU,INDONESIA
360,KNG,UTAROM,KAIMANA,PAPUA BARAT,INDONESIA
361,,WAGHETE,,PAPUA TENGAH,INDONESIA
362,,WAHAI,PULAU SERAM,MALUKU,INDONESIA
363,,WAKATOBI,,SULAWESI TENGGARA,INDONESIA
364,,WAMENA,,PAPUA PEGUNUNGAN,INDONESIA
365,,WANGBE,,PAPUA TENGAH,INDONESIA
366,,WASIOR,,PAPUA BARAT,INDONESIA
367,,WEDA BAY,,MALUKU UTARA,INDONESIA
368,,WERUR,,PAPUA BARAT,INDONESIA
369,TSY,WIRIADINATA,TASIKMALAYA,JAWA BARAT,INDONESIA
370,LWE,WONOPITO,LEWOLEBA,NUSA TENGGARA TIMUR,INDONESIA
371,,YAKUHIMO / NOP GOLIAT DEKAI,,PAPUA PEGUNUNGAN,INDONESIA
372,,YOGYAKARTA INTERNASIONAL AIRPORT,,DAERAH ISTIMEWA YOGYAKARTA,INDONESIA
373,,YUVAI SEMARING,LONGBAWAN,KALIMANTAN UTARA,INDONESIA
