waktu_id,rute_id,jumlah_penerbangan,jumlah_penumpang,kapasitas_seat,jumlah_barang_kg,jumlah_pos_kg,load_factor_pct
2020,543,627,52332,96882,197304.0,646.0,54.02
2020,545,57,1613,3990,13059.0,0.0,40.43
2020,547,284,11121,20448,5509.0,0.0,54.39
2020,548,508,19514,36332,53226.0,0.0,53.71
2020,551,555,11520,18720,653.0,34.0,61.54
2020,552,90,10992,16200,0.0,0.0,67.85
2020,553,76,5656,11004,3254.0,0.0,51.4
2020,555,3142,364885,605590,2208406.0,38708.0,60.25
2020,556,1047,48078,75384,32511.0,0.0,63.78
2020,557,90,8776,19194,5006.0,0.0,45.72
2020,558,99,8936,21259,7008.0,60.0,42.03
2020,559,50,1660,3600,2.0,0.0,46.11
2020,560,407,14544,29304,4163.0,0.0,49.63
2020,561,575,22073,41400,3160.0,0.0,53.32
2020,562,935,81487,144484,601052.0,1043.0,56.4
2020,563,287,11978,20664,4038.0,0.0,57.97
2020,564,214,7432,15408,5593.0,0.0,48.23
2020,566,62,1795,4464,400.0,0.0,40.21
2020,567,14,2457,3010,0.0,2457.0,81.63
2020,568,92,9790,14904,75679.0,0.0,65.69
2020,569,266,38920,55302,73856.0,0.0,70.38
2020,570,380,46666,76630,409466.0,791.0,60.9
2020,572,1253,62159,92081,92081.0,1479.0,67.5
2020,573,2120,266729,415894,2461161.0,67050.0,64.13
2020,574,13,4335,5696,0.0,11400.0,76.11
2020,575,45,17696,20250,0.0,0.0,87.39
2020,577,1163,48267,91752,34293.0,0.0,52.61
2020,579,200,4954,10000,10888.0,0.0,49.54
2020,580,394,50525,64596,257551.0,7276.0,78.22
2020,581,188,9173,13536,6020.0,0.0,67.77
2020,582,74,20,888,236.0,2.0,2.25
2020,583,1286,143270,202701,1174131.0,992.0,70.68
2020,584,1100,124847,192487,1055863.0,18061.0,64.86
2020,585,132,4240,9504,0.0,0.0,44.61
2020,588,590,25412,42362,47849.0,0.0,59.99
2020,589,286,8839,20592,157.0,0.0,42.92
2020,590,536,23520,38592,7668.0,0.0,60.95
2020,591,76,2004,2432,0.0,0.0,82.4
2020,592,71,3074,5112,792.0,0.0,60.13
2020,593,420,21206,29896,15605.0,86.0,70.93
2020,594,297,6381,13884,734.0,4.0,45.96
2020,595,75,167,900,114.0,0.0,18.56
2020,598,12,308,840,0.0,0.0,36.67
2020,599,192,9551,13824,1173.0,0.0,69.09
2020,606,158,8095,11376,508.0,0.0,71.16
2020,607,227,8944,16268,493.0,0.0,54.98
2020,609,128,11010,27312,64598.0,215.0,40.31
2020,610,4,576,860,0.0,0.0,66.98
2020,611,110,12884,19800,814.0,0.0,65.07
2020,613,1251,101912,137880,190018.0,154.0,73.91
2020,614,72,4863,8516,9951.0,0.0,57.1
2020,616,1309,80532,113824,187155.0,74.0,70.75
2020,618,280,9784,20160,11023.0,0.0,48.53
2020,619,146,6094,10220,50130.0,0.0,59.63
2020,621,213,7898,15336,2187.0,0.0,51.5
2020,622,1644,103476,144720,336136.0,0.0,71.5
2020,623,1025,60828,96248,262726.0,0.0,63.2
2020,624,274,9641,19728,5807.0,0.0,48.87
2020,625,100,10350,18000,3587.0,0.0,57.5
2020,628,199,24240,40029,233430.0,325.0,60.56
2020,629,120,2095,8640,0.0,0.0,24.25
2020,630,202,5910,14544,13911.0,0.0,40.64
2020,631,529,46912,97043,587478.0,0.0,48.34
2020,632,7,0,0,17681.0,0.0,0.0
